N	  Время сортировки выбором(мс)  Время сортировки пузырьком(мс) 	Время сортировки простыми вставками(мс)

100                  0.99730500000             	     2.99286800000                  	      0.99778200000
500                  35.9342100000                   102.700949000                		      19.9465750000
1000                 143.592596000            	     445.777416000                		      77.7664180000
2500                 975.391150000             	     2913.21039200               		        514.653444000
5000                 3846.68421700           	       11675.7812500               		        2168.20263900
10000                15256.2370300           	       55037.8060340              		        9347.00703600
25000                106529.181242         	         404204.303741             		          69712.5988010
50000                505576.273203         	         1.886784*10^6              		        410096.554279
100000               2.271761*10^6         	         7.615832*10^6             		          1.605099*10^6
